review_id,Asin,Brand,Nation,Rating,Content
256,B001ANVDMA,posca,US,5,I like these much better than the medium tip ones. More color choices was a big plus also.
257,B001ANVDMA,posca,US,5,Posca is the best!!
258,B001ANVDMA,posca,US,5,"I have 3 sets of those, 2 medium and one fine.I love the creamy colors like souffle...very reasonable price; great Japanese made paint markers. Buy them if you love  markers."
259,B001ANVDMA,posca,US,1,Half of them didn't work or didn't have much paint in them
261,B001ANVDMA,posca,US,5,Very good
262,B001ANVDMA,posca,US,5,They were a gift that was loved!
263,B001ANVDMA,posca,US,5,Pintan increible!!! Justo lo que esperaba
264,B001ANVDMA,posca,US,1,Poorly played friend. The picture displays the American posca markers. These are the Asian markers that do not work. I been purchasing posca for over 4 years. They usually last me about 3-5 projects with this much black. This lasted me 5 minutes. Shame on you for the misleading picture.
265,B001ANVDMA,posca,US,5,The best paint markers that work so well on different surfaces
266,B001ANVDMA,posca,US,5,Great product!
267,B001ANVDMA,posca,US,5,Amazing fast service
268,B001ANVDMA,posca,US,5,扱いやすい太さで色も豊富でいいですよ<br>なかなかお店でこの太さがなくて探してました
269,B001ANVDMA,posca,US,5,Great pins!!!!
270,B001ANVDMA,posca,US,4,My grandson asked for paint pens for Christmas.  He has enjoyed creating cool art using them.
271,B001ANVDMA,posca,US,5,great for art work
